id_cliente,fecha_compra,factura_id,cantidad,monto,segmento_cliente,pais,canal_compra
1,2023-01-21,1,8,4349.9,Medio,España,Tienda física
1,2023-03-13,2,5,4390.07,Medio,España,Tienda física
1,2023-04-17,3,3,2250.2,Medio,España,Online
1,2023-05-02,4,7,3806.86,Medio,España,Online
1,2023-09-28,5,6,3544.78,Medio,España,Online
1,2024-09-06,6,8,6700.29,Medio,España,Tienda física
1,2024-12-01,7,2,1065.68,Medio,España,Online
2,2023-03-29,8,1,639.17,Medio,Alemania,Online
2,2023-04-10,9,1,727.78,Medio,Alemania,Tienda física
2,2024-01-08,10,8,0.0,Medio,Alemania,Tienda física
2,2024-04-03,11,6,3094.5,Medio,Alemania,Online
2,2024-10-25,12,8,5623.36,Medio,Alemania,Tienda física
3,2023-12-10,13,2,765.27,Ocasional,Francia,Tienda física
4,2023-07-11,14,4,1587.05,Ocasional,España,Tienda física
4,2024-01-21,15,8,2829.87,Ocasional,España,Tienda física
5,2024-04-04,16,7,2067.04,Ocasional,España,Tienda física
6,2024-07-14,17,5,1084.33,Ocasional,Francia,Tienda física
7,2024-11-12,18,8,3128.85,Ocasional,Alemania,Online
8,2023-01-14,19,9,11554.74,Frecuente,Alemania,Tienda física
8,2023-01-21,20,5,6708.87,Frecuente,Alemania,Online
8,2023-04-02,21,4,10084.04,Frecuente,Alemania,Online
8,2023-05-11,22,5,7409.65,Frecuente,Alemania,Tienda física
8,2023-06-16,23,1,2345.85,Frecuente,Alemania,Online
8,2023-07-09,24,6,6049.36,Frecuente,Alemania,Tienda física
8,2023-08-30,25,3,7246.58,Frecuente,Alemania,Tienda física
8,2023-09-01,26,9,,Frecuente,Alemania,Online
8,2023-10-01,27,2,3473.41,Frecuente,Alemania,Online
8,2023-11-12,28,4,8340.7,Frecuente,Alemania,Tienda física
8,2023-12-06,29,7,9525.47,Frecuente,Alemania,Online
8,2023-12-12,30,1,2765.89,Frecuente,Alemania,Tienda física
8,2024-01-02,31,5,6835.42,Frecuente,Alemania,Online
8,2024-01-23,32,5,,Frecuente,Alemania,Online
8,2024-03-03,33,3,0.0,Frecuente,Alemania,Online
8,2024-03-30,34,4,4330.04,Frecuente,Alemania,Online
8,2024-04-29,35,3,4357.67,Frecuente,Alemania,Online
8,2024-05-19,36,9,16006.69,Frecuente,Alemania,Tienda física
8,2024-05-23,37,1,1479.5,Frecuente,Alemania,Tienda física
8,2024-07-16,38,1,1062.56,Frecuente,Alemania,Online
8,2024-07-18,39,6,9335.84,Frecuente,Alemania,Online
8,2024-07-20,40,3,7567.29,Frecuente,Alemania,Tienda física
8,2024-08-23,41,9,17303.14,Frecuente,Alemania,Tienda física
8,2024-10-08,42,6,11900.61,Frecuente,Alemania,Tienda física
8,2024-11-17,43,5,12760.96,Frecuente,Alemania,Tienda física
9,2023-07-25,44,6,1406.17,Ocasional,Francia,Tienda física
10,2023-01-02,45,1,616.75,Medio,Reino Unido,Tienda física
10,2024-01-23,46,5,4463.21,Medio,Reino Unido,Tienda física
10,2024-01-25,47,5,4306.89,Medio,Reino Unido,Tienda física
10,2024-07-19,48,6,3427.73,Medio,Reino Unido,Online
11,2024-04-21,49,5,1818.98,Ocasional,Francia,Tienda física
11,2024-12-03,50,1,300.4,Ocasional,Francia,Online
12,2023-06-11,51,5,1078.59,Ocasional,Estados Unidos,Tienda física
12,2023-07-21,52,1,346.72,Ocasional,Estados Unidos,Tienda física
13,2023-09-28,53,3,1135.24,Ocasional,Estados Unidos,Online
13,2024-03-31,54,2,465.21,Ocasional,Estados Unidos,Tienda física
14,2023-10-23,55,4,1156.04,Ocasional,Reino Unido,Tienda física
14,2024-12-02,56,1,345.12,Ocasional,Reino Unido,Online
15,2023-12-04,57,2,701.55,Ocasional,Italia,Online
16,2023-07-07,58,1,205.32,Ocasional,Reino Unido,Online
16,2023-08-05,59,5,1713.93,Ocasional,Reino Unido,Tienda física
17,2023-06-06,60,1,235.74,Ocasional,Estados Unidos,Online
18,2024-06-04,61,4,1176.82,Ocasional,Francia,Online
19,2024-04-16,62,2,536.83,Ocasional,Alemania,Tienda física
19,2024-10-09,63,7,2707.03,Ocasional,Alemania,Tienda física
20,2023-10-16,64,6,41169.47,Premium,Estados Unidos,Online
20,2024-01-14,65,2,15237.28,Premium,Estados Unidos,Online
20,2024-01-27,66,1,4048.33,Premium,Estados Unidos,Tienda física
20,2024-02-23,67,6,38473.64,Premium,Estados Unidos,Online
20,2024-05-04,68,7,32101.97,Premium,Estados Unidos,Online
20,2024-08-15,69,2,13030.99,Premium,Estados Unidos,Online
